min_gain,actual_positives,quality_threshold,table_policy,fast_rate,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
0.05,53,54.0,all_tables,0.438914,42,82,11,86,0.33871,0.792453,0.474576,0.625,0.561086
0.05,53,56.0,all_tables,0.438914,42,82,11,86,0.33871,0.792453,0.474576,0.625,0.561086
0.05,53,58.0,all_tables,0.438914,42,82,11,86,0.33871,0.792453,0.474576,0.625,0.561086
0.05,53,60.0,all_tables,0.438914,42,82,11,86,0.33871,0.792453,0.474576,0.625,0.561086
0.05,53,62.0,all_tables,0.438914,42,82,11,86,0.33871,0.792453,0.474576,0.625,0.561086
0.05,53,64.0,all_tables,0.429864,42,84,11,84,0.333333,0.792453,0.469274,0.621302,0.570136
0.05,53,66.0,all_tables,0.411765,43,87,10,81,0.330769,0.811321,0.469945,0.628655,0.588235
0.05,53,68.0,all_tables,0.411765,43,87,10,81,0.330769,0.811321,0.469945,0.628655,0.588235
0.05,53,70.0,all_tables,0.411765,43,87,10,81,0.330769,0.811321,0.469945,0.628655,0.588235
0.05,53,72.0,all_tables,0.411765,43,87,10,81,0.330769,0.811321,0.469945,0.628655,0.588235
0.05,53,74.0,all_tables,0.39819,43,90,10,78,0.323308,0.811321,0.462366,0.623188,0.60181
0.05,53,76.0,all_tables,0.393665,43,91,10,77,0.320896,0.811321,0.459893,0.621387,0.606335
0.05,53,78.0,all_tables,0.38009,43,94,10,74,0.313869,0.811321,0.452632,0.616046,0.61991
0.05,53,80.0,all_tables,0.38009,43,94,10,74,0.313869,0.811321,0.452632,0.616046,0.61991
0.05,53,82.0,all_tables,0.371041,43,96,10,72,0.309353,0.811321,0.447917,0.612536,0.628959
0.05,53,84.0,all_tables,0.366516,43,97,10,71,0.307143,0.811321,0.445596,0.610795,0.633484
0.05,53,86.0,all_tables,0.352941,43,100,10,68,0.300699,0.811321,0.438776,0.605634,0.647059
0.05,53,88.0,all_tables,0.330317,43,105,10,63,0.290541,0.811321,0.427861,0.597222,0.669683
0.05,53,90.0,all_tables,0.307692,45,108,8,60,0.294118,0.849057,0.436893,0.616438,0.692308
0.05,53,92.0,all_tables,0.294118,45,111,8,57,0.288462,0.849057,0.430622,0.611413,0.705882
0.05,53,94.0,all_tables,0.294118,45,111,8,57,0.288462,0.849057,0.430622,0.611413,0.705882
0.05,53,40.0,high_tables,0.647059,20,58,33,110,0.25641,0.377358,0.305344,0.344828,0.352941
0.05,53,42.0,high_tables,0.647059,20,58,33,110,0.25641,0.377358,0.305344,0.344828,0.352941
0.05,53,44.0,high_tables,0.642534,20,59,33,109,0.253165,0.377358,0.30303,0.343643,0.357466
0.05,53,46.0,high_tables,0.642534,20,59,33,109,0.253165,0.377358,0.30303,0.343643,0.357466
0.05,53,48.0,high_tables,0.642534,20,59,33,109,0.253165,0.377358,0.30303,0.343643,0.357466
0.05,53,50.0,high_tables,0.638009,20,60,33,108,0.25,0.377358,0.300752,0.342466,0.361991
0.05,53,52.0,high_tables,0.633484,20,61,33,107,0.246914,0.377358,0.298507,0.341297,0.366516
0.05,53,54.0,high_tables,0.624434,20,63,33,105,0.240964,0.377358,0.294118,0.338983,0.375566
0.05,53,56.0,high_tables,0.624434,20,63,33,105,0.240964,0.377358,0.294118,0.338983,0.375566
0.05,53,58.0,high_tables,0.615385,22,63,31,105,0.258824,0.415094,0.318841,0.37037,0.384615
0.05,53,60.0,high_tables,0.615385,22,63,31,105,0.258824,0.415094,0.318841,0.37037,0.384615
0.05,53,62.0,high_tables,0.61086,22,64,31,104,0.255814,0.415094,0.316547,0.369128,0.38914
0.05,53,64.0,high_tables,0.597285,23,66,30,102,0.258427,0.433962,0.323944,0.38206,0.402715
0.05,53,66.0,high_tables,0.565611,26,70,27,98,0.270833,0.490566,0.348993,0.422078,0.434389
0.05,53,68.0,high_tables,0.565611,26,70,27,98,0.270833,0.490566,0.348993,0.422078,0.434389
0.05,53,70.0,high_tables,0.565611,26,70,27,98,0.270833,0.490566,0.348993,0.422078,0.434389
0.05,53,72.0,high_tables,0.565611,26,70,27,98,0.270833,0.490566,0.348993,0.422078,0.434389
0.05,53,74.0,high_tables,0.552036,26,73,27,95,0.262626,0.490566,0.342105,0.418006,0.447964
0.05,53,76.0,high_tables,0.547511,26,74,27,94,0.26,0.490566,0.339869,0.416667,0.452489
0.05,53,78.0,high_tables,0.533937,26,77,27,91,0.252427,0.490566,0.333333,0.412698,0.466063
0.05,53,80.0,high_tables,0.529412,27,77,26,91,0.259615,0.509434,0.343949,0.427215,0.470588
0.05,53,82.0,high_tables,0.520362,27,79,26,89,0.254717,0.509434,0.339623,0.424528,0.479638
0.05,53,84.0,high_tables,0.511312,28,80,25,88,0.259259,0.528302,0.347826,0.4375,0.488688
0.05,53,86.0,high_tables,0.479638,29,86,24,82,0.252174,0.54717,0.345238,0.443425,0.520362
0.05,53,88.0,high_tables,0.452489,29,92,24,76,0.239669,0.54717,0.333333,0.435435,0.547511
0.05,53,90.0,high_tables,0.411765,31,99,22,69,0.238462,0.584906,0.338798,0.453216,0.588235
0.05,53,92.0,high_tables,0.38914,33,102,20,66,0.244444,0.622642,0.351064,0.475504,0.61086
0.05,53,94.0,high_tables,0.375566,34,104,19,64,0.246377,0.641509,0.356021,0.485714,0.624434
0.05,53,40.0,no_tables,0.977376,2,3,51,165,0.4,0.037736,0.068966,0.046083,0.022624
0.05,53,42.0,no_tables,0.977376,2,3,51,165,0.4,0.037736,0.068966,0.046083,0.022624
0.05,53,44.0,no_tables,0.972851,2,4,51,164,0.333333,0.037736,0.067797,0.045872,0.027149
0.05,53,46.0,no_tables,0.972851,2,4,51,164,0.333333,0.037736,0.067797,0.045872,0.027149
0.05,53,48.0,no_tables,0.972851,2,4,51,164,0.333333,0.037736,0.067797,0.045872,0.027149
0.05,53,50.0,no_tables,0.968326,2,5,51,163,0.285714,0.037736,0.066667,0.045662,0.031674
0.05,53,52.0,no_tables,0.963801,2,6,51,162,0.25,0.037736,0.065574,0.045455,0.036199
0.05,53,54.0,no_tables,0.954751,2,8,51,160,0.2,0.037736,0.063492,0.045045,0.045249
0.05,53,56.0,no_tables,0.954751,2,8,51,160,0.2,0.037736,0.063492,0.045045,0.045249
0.05,53,58.0,no_tables,0.945701,4,8,49,160,0.333333,0.075472,0.123077,0.089286,0.054299
0.05,53,60.0,no_tables,0.945701,4,8,49,160,0.333333,0.075472,0.123077,0.089286,0.054299
0.05,53,62.0,no_tables,0.941176,4,9,49,159,0.307692,0.075472,0.121212,0.088889,0.058824
0.05,53,64.0,no_tables,0.927602,5,11,48,157,0.3125,0.09434,0.144928,0.109649,0.072398
0.05,53,66.0,no_tables,0.895928,8,15,45,153,0.347826,0.150943,0.210526,0.170213,0.104072
0.05,53,68.0,no_tables,0.895928,8,15,45,153,0.347826,0.150943,0.210526,0.170213,0.104072
